"","타임스탬프","당신의성별은","당신의연령대는","이성교제의경험의유무","현재이성교제를하고있습니까","지금까지교제한이성은몇명입니까","a1","a2","a3","역a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","역a12","a13","b14","b15","b16","b17","b18","b19","b20","역b20","b21","d22","d23","d24","d25","d26","d27","d28","e29","e30","e31","역e31","e32","e33","e34","e35","L1","L2","L3","L4","E1","E2","E3","E4","S1","S2","S3","S4","역역a3","역역a12","역역b20","역역e31","a","b","d","e","유희적태도","루두스","에로스","스토르게"
"174","2014. 11. 28 오후 4:31:06","남자","20대",1,"N","2",1,1,2,5,4,1,1,3,2,1,3,2,2,4,1,4,4,4,3,3,1,3,3,3,4,3,3,3,2,2,3,4,2,2,5,1,1,1,1,4,1,3,1,3,3,3,3,5,3,4,5,1,2,3,1,2,3,2.5,1.8,2.20833333333333,2.25,3,4.25
"175","2014. 11. 28 오후 4:37:25","남자","20대",1,"Y","3",4,2,1,5,2,1,2,2,1,1,1,1,1,4,4,4,4,1,1,1,2,2,4,2,4,4,4,3,1,1,5,2,1,4,2,2,2,1,1,4,1,2,1,3,3,4,2,3,3,1,3,1,2,2,4,1.54545454545455,2.25,2.5,1.6,1.83333333333333,2,3,2.5
"176","2014. 11. 28 오후 4:46:31","남자","20대",1,"N","1",2,1,3,3,2,1,4,2,2,2,1,2,1,4,4,2,1,1,2,2,1,1,4,1,2,2,4,2,1,2,2,2,2,1,4,1,1,2,4,4,1,2,1,2,4,3,2,4,4,3,4,3,2,2,2,2.18181818181818,1.25,2.25,2,2,2,2.75,3.75
"177","2014. 11. 28 오후 5:05:13","남자","20대",1,"Y","4",1,1,2,4,2,2,4,4,2,2,4,5,3,2,4,2,1,4,1,2,2,4,2,4,4,4,4,3,2,5,2,2,3,5,1,3,4,2,1,2,1,5,1,4,1,2,2,1,2,1,1,2,4,4,5,3.09090909090909,3,3.75,2.6,3.08333333333333,2.25,2.25,1.25
"178","2014. 11. 28 오후 5:12:53","남자","20대",1,"N","2",1,1,1,4,4,2,1,4,1,1,2,2,2,4,1,2,5,1,5,2,3,2,4,1,4,2,3,4,3,5,1,1,3,4,3,2,1,1,1,2,1,5,2,5,5,5,5,5,5,2,4,2,2,2,3,1.90909090909091,1.75,3.25,1.6,2.04166666666667,2.5,5,4
"179","2014. 11. 28 오후 5:20:23","남자","20대",1,"Y","5",2,1,3,3,2,1,2,4,4,4,4,2,4,2,4,4,2,2,1,2,2,2,4,1,4,2,2,1,1,3,4,5,4,2,5,1,1,2,2,2,1,5,1,4,4,4,3,2,2,1,2,3,4,2,1,3.09090909090909,2.25,2,2.6,2.66666666666667,2.25,3.75,1.75
"180","2014. 11. 28 오후 5:23:59","남자","20대",1,"Y","20",3,1,2,3,1,1,1,5,2,5,5,3,5,1,5,3,2,4,1,2,4,3,3,3,4,2,3,4,4,5,2,2,2,2,2,4,2,5,2,2,2,5,2,4,2,4,4,1,1,3,1,3,5,3,4,3.18181818181818,3.5,3.5,2.4,3.125,2.75,3.5,1.5
"181","2014. 11. 28 오후 5:25:56","남자","20대",1,"N","1",2,2,2,4,2,2,2,2,2,2,2,2,2,4,3,2,4,3,2,3,2,2,4,2,2,4,4,4,3,3,2,4,2,2,4,2,2,2,2,4,2,2,2,2,3,2,4,2,2,3,3,2,2,2,2,2.09090909090909,2.25,3.5,2.4,2.41666666666667,2.5,2.75,2.5
"182","2014. 11. 28 오후 6:11:08","남자","20대",1,"Y","4",2,1,2,5,1,1,2,1,2,2,1,2,1,5,1,1,2,1,1,2,2,2,3,1,3,2,2,3,2,2,3,2,1,1,5,2,1,3,1,3,1,3,1,3,5,1,5,2,2,2,2,1,1,3,1,1.45454545454545,1.25,2,1.4,1.5,2,3.5,2
"183","2014. 11. 28 오후 6:11:17","남자","20대",1,"Y","4",2,1,2,5,1,1,2,1,2,2,1,2,1,5,1,1,2,1,1,2,2,2,3,1,3,2,2,3,2,2,3,2,1,1,5,2,1,3,1,3,1,3,1,3,5,1,5,2,2,2,2,1,1,3,1,1.45454545454545,1.25,2,1.4,1.5,2,3.5,2
"184","2014. 11. 28 오후 6:38:01","남자","20대",1,"N","몰라임마",3,1,2,5,3,4,3,3,3,3,3,2,3,2,4,2,3,5,3,1,2,2,3,2,5,4,4,3,2,2,3,3,2,2,4,3,1,3,1,3,2,4,1,3,3,3,2,3,4,4,4,1,4,3,2,3,2.75,3,2,2.75,2.5,2.75,3.75
"185","2014. 11. 28 오후 7:12:10","남자","20대",1,"Y","안알랴쥼♡",2,1,2,1,3,1,1,2,2,1,1,2,3,3,1,2,3,3,2,2,2,1,5,2,2,2,2,2,2,2,2,2,4,5,1,3,3,5,4,3,3,5,2,2,5,5,5,5,2,5,5,5,3,1,5,1.72727272727273,2.25,2,3.2,2.16666666666667,3.25,4.25,4.25
"186","2014. 11. 28 오후 7:53:41","남자","20대",1,"Y","3",2,1,2,4,3,2,1,1,1,1,1,2,1,5,1,1,1,2,1,2,1,1,4,2,2,3,3,3,4,1,2,3,2,3,3,2,1,3,2,2,2,4,1,2,3,5,5,3,4,3,4,2,1,2,3,1.45454545454545,1.5,2.75,2,1.79166666666667,2.25,3.75,3.5
"187","2014. 11. 28 오후 9:25:58","남자","20대",1,"Y","5",3,2,3,4,2,3,4,3,4,3,4,4,4,2,3,2,3,2,4,2,2,2,3,2,2,4,4,3,2,2,3,4,3,3,2,3,2,2,2,2,1,2,2,3,4,4,3,2,3,2,2,2,4,3,4,3.36363636363636,2,3,2.8,2.95833333333333,1.75,3.5,2.25
"188","2014. 11. 28 오후 9:39:56","남자","20대",1,"N","3",2,1,2,4,4,2,3,3,2,2,3,3,2,3,2,4,2,1,2,3,2,2,3,2,4,2,2,2,1,2,4,4,3,2,4,2,2,2,2,4,3,3,1,2,2,4,2,2,2,3,2,2,3,3,2,2.54545454545455,2.25,1.75,2.6,2.375,2.75,2.5,2.25
"189","2014. 11. 28 오후 9:40:12","남자","20대",1,"Y","2",2,2,1,4,3,1,2,2,2,2,2,3,1,5,1,2,4,2,3,2,2,2,4,1,2,3,3,3,2,1,3,2,2,2,3,1,2,2,2,3,1,4,1,2,3,4,4,2,2,2,2,2,1,2,3,1.81818181818182,1.75,2.25,1.8,1.875,2.25,3.25,2
"190","2014. 11. 28 오후 10:29:13","남자","20대",1,"Y","4",3,2,2,3,4,2,4,2,5,2,2,3,2,4,3,3,2,3,2,4,2,3,3,3,3,3,3,2,4,2,2,3,4,2,4,3,4,2,2,1,3,3,2,3,3,3,3,2,2,3,2,3,2,3,2,2.81818181818182,2.75,3,3.2,2.91666666666667,2.25,3,2.25
"191","2014. 11. 28 오후 10:40:12","남자","20대",1,"Y","40",1,2,1,4,2,3,2,5,2,2,3,4,4,3,2,2,4,4,1,2,1,1,4,1,2,2,1,2,1,5,2,4,5,5,1,2,5,2,4,1,1,5,1,3,5,5,3,2,5,5,3,2,3,2,5,2.72727272727273,2,2.25,4,2.79166666666667,2,4,3.75
"192","2014. 11. 28 오후 10:54:23","남자","20대",1,"Y","5",2,1,2,1,3,1,2,1,1,1,1,2,1,5,1,1,1,1,1,1,1,1,4,1,1,1,1,3,2,4,2,1,2,3,2,1,2,1,1,2,1,4,1,5,5,4,1,3,3,5,4,5,1,2,4,1.45454545454545,1,2,1.4,1.45833333333333,2,3.75,3.75
"193","2014. 11. 28 오후 10:54:29","남자","20대",1,"Y","5",2,1,2,1,3,1,2,1,1,1,1,2,1,5,1,1,1,1,1,1,1,1,4,1,1,1,1,3,2,4,2,1,2,3,2,1,2,1,1,2,1,4,1,5,5,4,1,3,3,5,4,5,1,2,4,1.45454545454545,1,2,1.4,1.45833333333333,2,3.75,3.75
"194","2014. 11. 29 오전 12:17:52","남자","20대",1,"N","3",4,2,1,4,1,1,1,1,1,1,1,1,1,4,1,4,1,1,2,4,2,1,4,1,3,2,2,2,2,1,2,2,4,2,4,2,2,2,1,1,1,4,1,3,5,5,5,5,5,5,5,2,2,2,2,1,2,1.75,2.2,1.54166666666667,1.75,4.5,5
"195","2014. 11. 29 오전 8:27:43","남자","20대",1,"Y","1",2,2,2,4,2,1,2,3,3,3,3,2,4,3,4,2,2,2,1,2,2,2,4,1,3,3,3,2,2,2,2,2,4,3,2,2,3,2,2,3,1,5,1,3,4,3,3,3,2,4,3,2,3,2,4,2.63636363636364,1.75,2.5,2.6,2.45833333333333,2.5,3.25,3
"196","2014. 11. 29 오전 9:39:27","남자","20대",1,"Y","5",3,3,3,3,3,2,5,3,4,2,1,3,2,4,2,3,3,3,2,2,2,1,5,2,3,3,3,2,2,2,4,3,2,2,4,3,2,5,2,3,3,5,1,2,2,3,2,1,2,2,2,3,2,1,2,2.72727272727273,2.5,2.5,2.4,2.58333333333333,3,2.25,1.75
"197","2014. 11. 29 오전 9:37:41","남자","20대",1,"Y","1",2,2,3,3,4,3,4,2,2,3,4,3,2,3,2,4,4,3,3,2,2,2,4,2,3,3,3,3,2,2,3,3,2,3,3,2,2,2,3,3,1,5,1,5,4,4,5,1,1,1,2,3,3,2,3,2.90909090909091,2.75,2.5,2.4,2.70833333333333,2.5,4.5,1.25
"198","2014. 11. 29 오전 9:42:46","남자","20대",1,"N","2명",1,1,5,2,5,5,5,5,5,5,5,5,5,1,5,1,4,1,4,1,1,1,5,1,1,1,1,5,1,1,1,1,4,5,1,5,3,1,5,5,5,5,1,3,1,5,5,5,5,5,5,4,5,1,5,5,1,1,3.6,3.375,4,3.5,5
"199","2014. 11. 29 오전 9:44:07","남자","20대",1,"Y","30",1,1,5,1,1,5,5,1,5,5,5,5,5,1,5,5,5,5,1,3,5,5,1,5,1,5,5,5,5,5,5,5,5,5,1,5,5,1,5,5,5,5,1,5,5,3,5,1,1,1,5,5,5,5,5,4.27272727272727,5,5,5,4.66666666666667,4,4.5,2
"200","2014. 11. 29 오전 9:50:29","남자","20대",1,"Y","많음",1,1,1,3,4,2,1,3,1,4,4,2,2,3,4,3,5,5,5,5,5,3,1,3,2,3,2,4,3,5,5,3,5,3,3,2,5,1,1,5,1,1,1,1,3,2,5,1,1,5,1,3,3,5,3,2.54545454545455,4,3.25,3.2,3.04166666666667,2,2.75,2
"201","2014. 11. 29 오전 9:50:37","남자","20대",1,"Y","많음",1,1,1,3,4,2,1,3,1,4,4,2,2,3,4,3,5,5,5,5,5,3,1,3,2,3,2,4,3,5,5,3,5,3,3,2,5,1,1,5,1,1,1,1,3,2,5,1,1,5,1,3,3,5,3,2.54545454545455,4,3.25,3.2,3.04166666666667,2,2.75,2
"202","2014. 11. 29 오전 10:38:43","남자","20대",1,"N","5",2,2,2,3,5,3,2,4,3,4,4,4,4,2,4,3,3,3,2,2,3,3,3,2,5,4,3,4,4,4,4,4,4,3,3,3,2,2,2,3,4,4,1,2,3,2,1,3,3,3,3,3,4,3,3,3.54545454545455,2.75,3.75,3,3.33333333333333,3,2,3
"203","2014. 11. 29 오전 10:49:52","남자","20대",1,"N","10",2,1,1,5,2,1,2,3,1,1,4,3,3,2,2,4,2,3,1,3,2,2,3,2,2,3,2,3,3,2,4,3,2,3,2,2,2,2,1,2,1,2,2,2,2,3,2,2,1,2,2,1,4,3,4,2.09090909090909,2.75,2.5,2,2.25,1.75,2.25,1.75
"204","2014. 11. 29 오후 12:41:28","남자","20대",1,"Y","3",2,2,3,4,1,1,2,4,2,1,3,1,1,4,4,4,1,2,1,4,1,3,2,3,5,2,1,2,1,2,2,3,3,2,2,3,2,2,1,4,1,2,1,4,4,2,4,1,1,1,1,2,2,4,4,2.09090909090909,2.5,1.5,2.4,2.125,2,3.5,1
"205","2014. 11. 29 오후 1:18:02","남자","20대",1,"Y","8",1,1,5,3,4,5,5,2,5,4,5,4,4,1,4,4,5,4,2,4,4,3,2,3,2,3,3,3,2,5,2,4,4,5,1,5,4,4,5,1,4,4,4,5,2,5,5,1,1,4,2,3,5,4,5,4.27272727272727,3.75,3.25,4.4,4.04166666666667,3.25,4.25,2
"206","2014. 11. 29 오후 2:09:38","남자","20대",0,"N","0",3,2,4,3,2,2,5,4,3,4,4,5,4,2,4,2,4,3,2,3,4,3,3,3,2,2,2,4,2,3,5,3,3,1,5,1,1,1,1,3,1,3,1,3,3,5,3,4,3,4,4,3,4,3,1,3.72727272727273,3,2.25,1.8,2.95833333333333,2,3.5,3.75
"207","2014. 11. 29 오후 5:49:10","남자","20대",1,"N","9",3,2,2,5,2,4,3,4,3,4,4,4,4,2,3,5,2,1,2,3,1,1,4,2,2,2,2,2,1,2,4,4,4,2,4,3,4,2,3,3,2,4,2,3,3,3,3,2,2,4,2,1,4,2,2,3.36363636363636,2.25,1.75,3.6,2.95833333333333,2.75,3,2.5
"208","2014. 12. 1 오후 1:21:38","남자","20대",0,"N","0",2,1,1,4,1,1,1,1,1,1,1,1,1,5,1,2,3,3,2,1,2,2,3,2,3,3,2,3,2,3,3,2,2,2,4,2,1,2,1,3,1,1,1,2,3,3,3,3,3,2,3,2,1,3,2,1,2.25,2.5,1.6,1.58333333333333,1.5,2.75,2.75
