"","타임스탬프","당신의성별은","당신의연령대는","이성교제의경험의유무","현재이성교제를하고있습니까","지금까지교제한이성은몇명입니까","a1","a2","a3","역a3","a4","a5","a6","a7","a8","a9","a10","a11","a12","역a12","a13","b14","b15","b16","b17","b18","b19","b20","역b20","b21","d22","d23","d24","d25","d26","d27","d28","e29","e30","e31","역e31","e32","e33","e34","e35","L1","L2","L3","L4","E1","E2","E3","E4","S1","S2","S3","S4","역역a3","역역a12","역역b20","역역e31","a","b","d","e","유희적태도","루두스","에로스","스토르게"
"120","2014. 11. 27 오후 4:37:31","남자","20대",1,"Y","1",2,2,2,4,2,2,2,2,2,2,2,4,4,2,4,2,2,4,2,2,2,2,4,2,3,2,2,3,3,3,3,2,2,2,3,2,2,2,2,3,1,3,1,3,4,3,4,2,2,2,2,2,4,2,3,2.54545454545455,2.5,2.5,2,2.41666666666667,2,3.5,2
"121","2014. 11. 27 오후 4:40:37","남자","20대",1,"N","8",1,1,2,4,2,2,1,1,2,2,2,2,2,4,2,3,1,2,1,3,3,2,3,2,3,3,3,3,2,3,2,3,3,3,3,2,3,1,2,3,2,3,1,4,2,5,3,2,3,3,3,2,2,3,3,1.81818181818182,2.5,2.75,2.6,2.25,2.25,3.5,2.75
"122","2014. 11. 27 오후 4:41:50","남자","20대",0,"N","0",2,3,2,4,3,1,4,4,4,4,4,3,4,3,5,2,1,4,2,2,1,2,4,4,2,2,2,1,1,2,2,4,1,1,5,4,1,2,4,2,3,5,2,2,4,4,2,4,4,2,4,2,3,2,1,3.45454545454545,2.75,1.75,2.8,2.91666666666667,3,3,3.5
"123","2014. 11. 27 오후 4:47:28","남자","20대",1,"Y","3명",2,1,3,4,3,1,2,3,3,2,3,3,2,3,2,3,2,2,2,2,2,2,3,2,3,3,2,2,2,2,3,2,3,3,3,2,1,2,2,4,1,2,1,4,4,3,2,2,2,3,3,2,3,3,3,2.45454545454545,2.25,2.25,2,2.29166666666667,2,3.25,2.5
"124","2014. 11. 27 오후 4:47:36","남자","20대",1,"Y","3",3,2,3,3,2,1,2,2,1,2,2,2,3,3,2,3,3,4,2,1,4,2,4,2,1,3,2,3,3,2,2,2,1,3,3,2,1,3,2,3,1,3,1,1,2,4,3,3,4,3,4,3,3,2,3,2,3.25,2.5,1.6,2.20833333333333,2,2.5,3.5
"125","2014. 11. 27 오후 4:51:16","남자","30대",1,"Y","1",2,1,3,3,4,2,4,2,3,2,2,1,1,5,3,4,3,2,3,2,4,1,4,1,4,3,3,4,2,4,3,2,3,3,3,1,3,4,2,4,1,2,1,2,2,4,2,2,5,5,2,3,1,2,3,2.45454545454545,2.75,3,2.2,2.54166666666667,2,2.5,3.5
"126","2014. 11. 27 오후 4:53:37","남자","20대",1,"Y","첫사랑 한명요",2,1,2,4,3,1,3,3,2,2,2,2,2,3,2,2,2,2,1,2,3,1,5,2,4,4,2,3,2,3,2,4,3,4,3,1,3,2,1,2,1,4,1,2,4,4,1,4,5,2,5,2,3,1,3,2.18181818181818,2.25,2.75,2.4,2.33333333333333,2,2.75,4
"127","2014. 11. 27 오후 4:59:56","남자","20대",1,"Y","10",4,1,3,4,3,2,3,3,4,3,4,3,3,2,3,2,2,4,2,3,4,4,2,3,2,2,2,1,2,4,2,2,3,3,3,2,3,2,2,4,2,2,1,2,2,3,2,4,3,3,3,2,4,4,3,3.09090909090909,3.25,2.5,2.4,2.875,2.25,2.25,3.25
"128","2014. 11. 27 오후 5:03:01","남자","20대",1,"N","5",2,1,3,3,4,2,3,4,3,4,4,3,4,2,5,4,2,3,2,3,2,2,4,2,2,2,2,3,2,4,4,2,3,3,3,2,3,4,4,2,1,2,2,3,2,4,3,4,3,4,4,3,4,2,3,3.54545454545455,2.75,2.5,2.8,3.08333333333333,1.75,3,3.75
"129","2014. 11. 27 오후 5:07:30","남자","20대",1,"Y","3명",1,1,2,3,4,2,4,2,1,2,3,3,2,4,4,4,4,3,1,2,4,2,5,2,4,4,4,4,3,4,4,5,3,1,4,2,2,1,1,3,3,4,2,3,4,4,3,2,2,4,2,3,2,1,2,2.63636363636364,3.25,3.75,2.6,2.91666666666667,3,3.5,2.5
"130","2014. 11. 27 오후 5:10:29","남자","20대",1,"N","5",4,2,3,3,2,2,3,4,2,2,3,2,3,3,4,4,4,4,2,3,3,2,3,3,2,4,4,3,2,2,3,3,2,3,2,2,2,1,1,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,4,2.72727272727273,3.5,3,2,2.75,3,2.75,2.75
"131","2014. 11. 27 오후 5:14:47","남자","20대",1,"Y","3",2,2,4,3,3,4,4,3,3,3,4,4,4,2,3,4,3,3,3,3,2,2,4,2,2,3,2,3,2,2,3,3,2,3,5,3,1,2,5,3,1,3,2,3,1,2,1,1,2,2,2,3,4,2,1,3.54545454545455,2.75,2.25,2.8,3.04166666666667,2.25,1.75,1.75
"132","2014. 11. 27 오후 5:15:22","남자","20대",1,"Y","3",2,2,3,3,4,2,5,3,2,3,4,3,2,4,4,4,3,2,2,3,4,2,4,2,2,4,4,3,4,4,4,4,2,2,4,2,2,1,2,4,2,2,1,3,3,4,4,3,4,4,4,3,2,2,2,3.18181818181818,3,4,2.4,3.125,2.25,3.5,3.75
"133","2014. 11. 27 오후 5:16:58","남자","20대",1,"Y","5",2,2,3,4,3,3,3,4,3,4,4,4,3,3,4,3,4,3,2,3,2,2,4,2,3,2,3,4,3,4,4,4,3,3,2,4,3,3,2,4,2,2,2,4,3,4,3,2,2,3,3,2,3,2,4,3.45454545454545,2.5,3,3.2,3.16666666666667,2.5,3.5,2.5
"134","2014. 11. 27 오후 5:19:18","남자","20대",1,"Y","3",1,1,2,4,1,1,2,2,1,2,2,4,2,4,2,1,2,1,2,1,1,2,4,1,4,2,2,2,1,2,2,1,3,4,2,2,2,1,3,2,4,4,1,2,4,4,2,4,5,2,4,2,2,2,4,1.90909090909091,1,1.75,2.2,1.79166666666667,2.75,3,3.75
"135","2014. 11. 27 오후 5:28:15","남자","20대",1,"Y","5",2,1,3,3,3,1,3,4,3,3,3,3,3,2,3,4,2,3,4,4,2,2,4,2,5,3,3,4,3,4,5,3,3,4,3,2,3,3,3,3,2,3,2,3,3,3,3,2,1,3,2,3,4,2,3,2.90909090909091,2.75,3.25,2.8,2.91666666666667,2.5,3,2
"136","2014. 11. 27 오후 5:49:47","남자","20대",1,"N","10",5,1,3,3,4,1,1,2,1,1,1,4,1,5,1,4,2,1,2,1,2,2,3,2,3,3,2,4,3,2,2,2,2,2,2,2,2,2,2,3,1,5,1,5,5,5,4,2,1,1,2,3,1,3,4,1.81818181818182,2.25,2.5,2,2.04166666666667,2.5,4.75,1.5
"137","2014. 11. 27 오후 5:50:27","남자","20대",1,"N","7",2,2,3,3,4,1,1,4,1,2,2,3,2,4,3,4,2,3,2,3,2,3,3,2,4,3,2,3,2,4,2,2,2,3,4,2,2,2,2,3,2,3,2,3,3,3,3,3,3,2,4,3,2,3,2,2.36363636363636,2.75,2.75,2,2.41666666666667,2.5,3,3
"138","2014. 11. 27 오후 5:51:47","남자","20대",1,"N","3",2,1,2,4,4,1,5,3,2,4,4,2,1,4,2,4,2,3,2,4,2,3,3,2,4,4,4,3,2,4,4,4,2,2,4,2,1,3,2,4,3,4,2,2,3,4,2,5,3,4,4,2,2,3,2,2.72727272727273,2.75,3.5,2.2,2.75,3.25,2.75,4
"139","2014. 11. 27 오후 5:54:46","남자","20대",1,"N","1",1,1,2,3,4,3,4,2,3,3,3,3,3,3,3,4,4,2,4,2,2,2,3,2,2,4,3,4,2,3,4,4,3,3,3,3,3,2,2,3,3,4,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2.5,3,3,2.91666666666667,2.75,3,3
"140","2014. 11. 27 오후 6:22:53","남자","20대",1,"N","4",2,2,3,3,3,2,3,2,3,4,4,4,4,2,3,2,4,2,3,2,2,2,4,2,4,3,2,4,2,2,4,2,4,4,2,2,2,4,2,2,2,4,2,4,3,4,2,4,2,4,4,3,4,2,4,3.18181818181818,2,2.25,2.4,2.66666666666667,2.5,3.25,3.5
"141","2014. 11. 27 오후 7:20:49","남자","20대",1,"N","5",2,2,2,3,2,1,4,4,2,4,2,2,4,2,2,2,4,2,4,4,4,2,4,2,4,4,4,4,4,4,4,4,2,4,2,2,2,4,2,2,4,4,2,2,2,2,2,2,2,2,4,3,4,2,4,2.63636363636364,2.5,4,2.4,2.79166666666667,3,2,2.5
"142","2014. 11. 27 오후 8:44:10","남자","20대",1,"Y","3명",2,2,2,4,3,1,2,2,2,3,4,3,3,2,3,2,4,2,1,1,3,3,4,1,1,3,3,3,2,3,4,3,1,3,4,2,1,2,2,2,1,3,1,2,2,3,2,2,2,2,2,2,4,2,2,2.54545454545455,2,2.75,1.8,2.33333333333333,1.75,2.25,2
"143","2014. 11. 27 오후 9:38:32","남자","20대",1,"N","3",2,2,3,3,2,2,3,1,2,1,1,1,3,3,1,3,4,1,1,4,2,1,4,2,4,3,3,2,1,2,4,2,3,3,3,2,2,2,2,2,1,5,1,2,3,3,4,2,3,4,2,3,3,2,3,1.81818181818182,2,2.25,2.2,2,2.25,3,2.75
"144","2014. 11. 27 오후 9:39:39","남자","20대",1,"Y","3",1,1,3,4,1,1,1,1,2,1,1,1,1,5,1,2,2,1,2,1,2,1,4,1,3,2,2,3,2,3,3,2,2,2,4,1,1,2,2,1,1,5,1,3,2,5,4,2,3,2,2,2,1,2,2,1.27272727272727,1.5,2.25,1.6,1.54166666666667,2,3.5,2.25
"145","2014. 11. 27 오후 9:39:42","남자","20대",1,"Y","2",1,1,3,3,2,2,4,2,2,1,4,2,4,1,2,4,2,3,1,2,2,2,4,2,3,2,2,2,3,2,2,3,1,3,2,4,1,1,2,3,1,5,1,4,4,2,5,1,1,1,1,3,5,2,4,2.54545454545455,2.75,2.25,2.2,2.45833333333333,2.5,3.75,1
"146","2014. 11. 27 오후 9:40:48","남자","20대",1,"N","1명",2,2,2,4,2,2,2,2,2,1,1,1,2,3,1,2,3,1,2,2,2,1,5,1,2,2,2,3,1,2,3,2,2,3,4,3,2,2,2,3,1,4,1,3,4,5,4,3,3,4,4,2,3,1,2,1.63636363636364,1.5,1.75,2.2,1.75,2.25,4,3.5
"147","2014. 11. 27 오후 9:59:45","남자","20대",1,"N","5",3,1,2,3,2,1,3,2,3,2,1,3,2,5,2,2,2,1,2,3,2,3,3,3,2,2,2,3,2,3,2,2,3,2,4,2,3,3,2,2,1,1,1,4,3,3,4,4,3,5,4,3,1,3,2,2.09090909090909,2,2.25,2.4,2.16666666666667,1.25,3.5,4
"148","2014. 11. 27 오후 10:00:51","남자","20대",0,"N","0",2,1,1,5,1,1,2,1,1,1,1,1,1,5,1,1,3,1,2,2,3,1,5,1,1,2,2,4,3,1,2,1,2,3,3,2,2,2,1,2,1,4,1,3,5,5,3,3,3,3,3,1,1,1,3,1.09090909090909,1.5,2,1.6,1.41666666666667,2,4,3
"149","2014. 11. 27 오후 10:48:07","남자","20대",1,"N","6",4,1,1,5,5,1,3,4,1,2,4,3,2,4,1,5,2,4,1,4,1,3,2,3,5,3,2,1,2,2,2,1,3,5,1,4,1,2,5,2,1,4,1,2,1,1,3,3,4,4,1,1,2,4,5,2.45454545454545,3.25,2.25,2.8,2.625,2,1.75,3
"150","2014. 11. 27 오후 10:53:47","남자","20대",1,"N","1",2,2,1,3,2,1,1,3,2,1,3,2,2,3,1,2,2,1,1,2,2,2,4,2,3,3,2,2,1,2,3,2,1,1,5,1,1,2,1,3,3,3,1,3,4,4,3,2,3,2,2,3,3,2,1,1.72727272727273,1.75,2,1.2,1.66666666666667,2.5,3.5,2.25
